query,search interest,increase percent,keyword,query_type,window_days,window_start,window_end,logical_name,source_file,ingested_at
data governance frameworks,1,Breakout,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
unipd,48,650%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science sapienza,64,600%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science polito,25,200%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science projects,79,190%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
unito,18,160%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
sapienza,32,110%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science bicocca,12,40%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science unitn,8,30%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data analyst,17,20%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data scientist,15,20%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science unipd,16,20%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
r for data science,10,10%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
master data science,100,9%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science master,99,5%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
machine learning,48,3%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
coursera,8,0%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
phd data science,16,-7%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
master in data science,41,-20%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science cos'è,8,-30%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
business data science,48,-30%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
data science courses,17,-50%,data science,rising,14,2026-01-23,2026-02-06 08:46:00,rising_query_data science_14d,searched_with_rising-queries_IT_20260123-0000_20260206-0846.csv,2026-02-06 19:52:47.159732+00:00
